"","team","total_games_played","avg_goals_first_half_per_match","avg_goals_second_half_per_match","avg_points_per_home_match","avg_points_per_away_match","avg_shots_per_home_match","avg_shots_per_away_match","avg_yellow_cards_per_home_match","avg_yellow_cards_per_away_match","avg_red_cards_per_home_match","avg_red_cards_per_away_match","avg_fouls_committed_per_home_match","avg_fouls_committed_per_away_match","avg_fouls_won_per_home_match","avg_fouls_won_per_away_match","ft_draw_rate_when_level_at_ht","ft_loss_rate_when_level_at_ht","ft_win_rate_when_level_at_ht","ft_draw_rate_when_trailing_at_ht","ft_loss_rate_when_trailing_at_ht","ft_win_rate_when_trailing_at_ht","ft_draw_rate_when_leading_at_ht","ft_loss_rate_when_leading_at_ht","ft_win_rate_when_leading_at_ht","avg_winning_margin_goals","avg_losing_margin_goals","avg_corners_per_game","avg_goals_per_game","wins_in_last_5_games","points_per_game_last_5_games","wins_in_last_10_games","points_per_game_last_10_games","wins_in_last_5_home_games","points_per_game_last_5_home_games","wins_in_last_5_away_games","points_per_game_last_5_away_games"
"1","Arsenal",114,1.02,1.16,2.3,2.04,17.89,13.63,1.44,1.67,0.05,0.09,9.89,10.53,10.6,11.68,9,7,24,6,7,3,10,1,47,2.24,1.6,6.4,2.18,2,1.6,5,1.9,2,1.6,2,1.8
"2","Aston Villa",114,0.75,0.88,2.07,1.35,14.02,11.05,2.05,2.26,0.02,0.11,10.49,11.19,12.86,13.26,13,8,21,5,22,4,6,3,32,1.75,2.21,5.53,1.62,3,1.8,8,2.4,5,3,3,1.8
"3","Bournemouth",114,0.5,0.81,1.35,1.16,13.72,12.19,1.91,2.39,0.07,0.04,12.68,12.07,10.75,9.96,14,11,12,4,34,6,8,4,21,1.72,2.08,5.34,1.31,2,1.4,3,1.2,2,1.4,1,1.2
"4","Brentford",114,0.73,0.85,1.58,1.12,12.86,10.14,1.68,1.91,0.04,0.04,8.49,10.05,10.6,10.68,21,11,14,4,24,3,6,7,24,1.98,1.64,4.59,1.58,3,2,5,1.8,2,1.4,2,1.6
"5","Brighton",114,0.74,0.96,1.68,1.32,16.56,13.39,1.79,2.07,0.04,0.07,11.35,11.07,11.74,11.32,18,11,14,7,22,4,8,2,28,2.04,2.14,5.51,1.69,4,2.6,4,1.5,2,1.6,2,1.4
"6","Burnley",38,0.47,0.61,0.53,0.74,13.37,9.42,1.42,2.32,0.05,0.32,10.42,12.05,9.84,9.53,3,6,1,2,18,0,4,0,4,2.4,2.04,4.76,1.08,1,0.8,2,1,1,1,1,1
"7","Chelsea",114,0.71,0.86,1.81,1.28,15.98,12.56,2.32,2.58,0.05,0.09,10.74,11.68,11.84,12.51,17,14,21,3,20,4,9,2,24,1.84,1.78,5.68,1.57,4,2.4,6,2,4,2.6,2,1.4
"8","Crystal Palace",114,0.52,0.78,1.42,1.16,13.39,11.12,1.88,2.02,0.12,0.04,11.4,11.74,12.39,11.21,20,19,18,10,19,1,6,3,18,1.84,1.9,4.7,1.3,2,1.8,3,1.4,3,2.2,1,1
"9","Everton",114,0.49,0.53,1.28,1.04,12.95,10.58,1.93,2.25,0.05,0.04,10.65,11.86,10.46,9.88,21,18,15,8,25,1,7,3,16,1.72,1.98,4.53,1.02,3,2,4,1.5,1,1.2,3,1.8
"10","Fulham",114,0.58,0.86,1.47,1.21,13.28,12.16,1.68,2.47,0.07,0.05,10.12,11.4,11.18,9.44,13,20,18,4,25,6,7,2,19,1.67,1.62,5.28,1.44,2,1.2,4,1.2,2,1.2,2,1.2
"11","Ipswich",38,0.58,0.37,0.37,0.79,10.95,8.84,1.79,2.63,0.11,0.16,10.21,12.42,11.63,10.16,5,8,0,3,14,0,2,2,4,1.25,2.12,3.82,0.95,0,0.2,1,0.5,0,0,1,1
"12","Leeds",38,0.55,0.71,1.16,0.47,13.42,11.05,2,2.42,0.11,0.05,12.32,11.68,11.89,10.26,7,9,3,1,11,1,2,1,3,1.43,1.9,5.29,1.26,0,0.2,1,0.5,0,0.4,0,0
"13","Leicester",76,0.54,0.57,0.89,0.66,10.18,9.61,1.82,2,0.05,0,10.97,10.89,11,10.39,6,19,1,5,27,2,3,1,12,2,2,3.63,1.11,2,1.4,2,0.8,2,1.2,0,0.4
"14","Liverpool",114,0.95,1.22,2.42,1.67,19.65,16.19,1.49,1.77,0.07,0.09,11.39,11.37,10.49,8.89,11,7,20,14,9,6,4,1,42,2.13,1.59,6.81,2.17,1,1,5,1.7,3,2.2,2,1.2
"15","Luton",38,0.53,0.84,0.84,0.53,13.89,8.79,1.95,1.79,0,0,11.63,11.68,12.89,11.79,5,4,2,3,15,0,0,5,4,1.5,1.75,5.37,1.37,0,0.2,1,0.5,1,1,0,0
"16","Man City",114,1.12,1.18,2.47,1.93,17.53,15.81,1.3,1.35,0.07,0.02,8.16,8,11.04,10.19,9,7,19,3,8,7,8,2,51,2.29,1.47,6.8,2.3,4,2.6,7,2.4,5,3,2,1.6
"17","Man United",114,0.55,0.84,1.84,1.26,16.53,12.75,1.98,2.25,0.05,0.04,10.56,11.09,9.68,8.68,12,19,17,5,21,6,4,1,29,1.62,1.95,5.45,1.39,1,0.8,2,0.8,1,1,0,0.2
"18","Newcastle",114,0.93,1.01,2.05,1.4,17,11.88,1.75,1.77,0.05,0,10.61,10.18,12.42,11.51,17,11,15,5,16,5,4,4,37,2.4,1.87,5.97,1.94,2,1.4,6,1.9,4,2.4,2,1.4
"19","Nott'm Forest",114,0.64,0.63,1.44,1,11.96,10.53,1.88,2.4,0.04,0.05,10.81,11.37,11.09,10.49,15,19,16,7,25,0,6,5,21,1.57,1.92,3.82,1.27,1,1,4,1.4,1,0.8,3,2
"20","Sheffield United",38,0.37,0.55,0.53,0.32,10.84,8.53,2.53,2.37,0.16,0.11,11,11.26,8.95,8.37,4,11,1,1,17,0,2,0,2,1.33,2.61,3.74,0.92,0,0,0,0.2,0,0.4,0,0
"21","Southampton",76,0.36,0.46,0.45,0.53,10.29,9.71,1.66,2.61,0.08,0,10.87,12.53,10.79,11.16,6,13,3,3,36,1,4,6,4,1,1.91,4.07,0.82,0,0.2,0,0.3,0,0.4,0,0.2
"22","Tottenham",114,0.73,1.1,1.7,1.18,15.47,12.58,1.96,2.12,0.05,0.09,11.39,11.32,12.4,12.23,6,12,17,6,28,6,5,8,26,2.06,1.71,5.97,1.82,0,0.2,1,0.4,1,0.8,0,0.2
"23","West Ham",114,0.57,0.73,1.35,1.02,12.7,11.86,1.74,1.74,0.04,0.07,10.23,10.72,10.3,9.77,14,13,13,9,33,3,4,5,20,1.78,2.1,4.64,1.3,2,1.4,2,1,0,0.6,2,1.2
"24","Wolves",114,0.54,0.65,1.37,0.89,11.42,10.88,2.25,2.23,0.12,0.07,12.16,12.75,10.95,11.42,12,18,10,5,34,4,4,5,22,1.53,1.96,4.32,1.18,1,0.8,6,1.9,3,2,3,1.8
