"","team_name","total_points_scored_last_5_matches","total_points_conceded_last_5_matches","average_score_margin_last_5_matches","home_matches_played_last_5_matches","away_matches_played_last_5_matches","home_matches_won_last_5_matches","away_matches_won_last_5_matches","home_win_percentage_last_5_matches","away_win_percentage_last_5_matches","average_winning_margin_points_season_2025"
"1","Adelaide",381,414,-6.6,3,2,1,2,"33.33 %","100.00 %",38.56
"2","Brisbane Lions",485,384,20.2,2,3,2,2,"100.00 %","66.67 %",28.05
"3","Carlton",410,392,3.6,2,3,1,1,"50.00 %","33.33 %",36
"4","Collingwood",334,400,-13.2,2,3,1,1,"50.00 %","33.33 %",32
"5","Essendon",308,497,-37.8,2,3,0,0,"0.00 %","0.00 %",14.5
"6","Fremantle",421,431,-2,3,2,1,2,"33.33 %","100.00 %",24.81
"7","Geelong",516,413,20.6,3,2,2,2,"66.67 %","100.00 %",46.53
"8","Gold Coast",423,419,0.8,2,3,1,1,"50.00 %","33.33 %",37.75
"9","Greater Western Sydney",480,487,-1.4,3,2,2,1,"66.67 %","50.00 %",30.88
"10","Hawthorn",464,415,9.8,1,4,1,2,"100.00 %","50.00 %",33.71
"11","Melbourne",460,431,5.8,2,3,1,0,"50.00 %","0.00 %",35
"12","North Melbourne",432,561,-25.8,3,2,1,0,"33.33 %","0.00 %",26.4
"13","Port Adelaide",321,563,-48.4,2,3,1,0,"50.00 %","0.00 %",26.67
"14","Richmond",283,494,-42.2,3,2,0,0,"0.00 %","0.00 %",16.8
"15","St Kilda",400,390,2,2,3,2,2,"100.00 %","66.67 %",24
"16","Sydney",404,408,-0.8,2,3,1,2,"50.00 %","66.67 %",24.25
"17","West Coast",294,596,-60.4,2,3,0,0,"0.00 %","0.00 %",28
"18","Western Bulldogs",603,337,53.2,3,2,2,2,"66.67 %","100.00 %",57
